MANDT,CARRID,CONNID,COUNTRYFR,CITYFROM,AIRPFROM,COUNTRYTO,CITYTO,AIRPTO,FLTIME,DEPTIME,ARRTIME,DISTANCE,DISTID,FLTYPE,PERIOD
000,AA,0017,,NEW YORK,JFK,,SAN FRANCISCO,SFO,21660,13:30:00,16:31:00,0.0000,,,0
000,AA,0064,,SAN FRANCISCO,SFO,,NEW YORK,JFK,19260,09:00:00,17:21:00,0.0000,,,0
000,AC,0820,DE,FRANKFURT/MAIN,FRA,CA,MONTREAL-DORVAL,YUL,28800,10:00:00,12:00:00,5400.0000,,,0
000,AF,0820,DE,FRANKFURT/MAIN,FRA,MQ,FORT DE FRANCE,FDF,39600,10:00:00,15:00:00,7233.0000,,,0
000,DL,1699,,NEW YORK,JFK,,SAN FRANCISCO,SFO,22920,17:15:00,20:37:00,0.0000,,,0
000,DL,1984,,SAN FRANCISCO,SFO,,NEW YORK,JFK,19500,10:00:00,18:25:00,0.0000,,,0
000,LH,0400,,FRANKFURT,FRA,,NEW YORK,JFK,30240,10:10:00,11:34:00,7865.0000,KM,,0
000,LH,0402,,FRANKFURT,FRA,,NEW YORK,EWR,30900,13:30:00,15:05:00,7865.0000,KM,,0
000,LH,0454,,FRANKFURT,FRA,,SAN FRANCISCO,SFO,44400,10:10:00,12:30:00,0.0000,,,0
000,LH,0455,,SAN FRANCISCO,SFO,,FRANKFURT,FRA,48600,15:00:00,10:30:00,0.0000,,,0
000,LH,2402,,FRANKFURT,FRA,,BERLIN,SXF,3900,10:30:00,11:35:00,0.0000,,,0
000,LH,2407,,BERLIN,TXL,,FRANKFURT,FRA,3900,07:10:00,08:15:00,0.0000,,,0
000,LH,2415,,BERLIN,SXF,,FRANKFURT,FRA,3900,09:25:00,10:30:00,0.0000,,,0
000,LH,2436,,FRANKFURT,FRA,,BERLIN,THF,3900,17:30:00,18:35:00,0.0000,,,0
000,LH,2462,,FRANKFURT,FRA,,BERLIN,TXL,3900,06:30:00,07:35:00,0.0000,,,0
000,LH,2463,,BERLIN,SXF,,FRANKFURT,FRA,3900,21:25:00,22:30:00,0.0000,,,0
000,LH,3577,,ROM,FCO,,FRANKFURT,FRA,7200,07:05:00,09:05:00,1870.0000,KM,,0
000,LH,9981,DE,FRANKFURT,FRA,DE,DRESDEN,DRS,3300,16:40:00,17:35:00,300.0000,,,0
000,SQ,0026,,FRANKFURT,FRA,,NEW YORK,JFK,30000,08:30:00,09:50:00,7865.0000,KM,,0
000,UA,0007,,NEW YORK,JFK,,SAN FRANCISCO,SFO,22200,14:45:00,17:55:00,0.0000,,,0
000,UA,0941,,FRANKFURT,FRA,,SAN FRANCISCO,SFO,45360,14:30:00,21:06:00,0.0000,,,0
000,UA,3504,,SAN FRANCISCO,SFO,,FRANKFURT,FRA,48900,15:00:00,10:30:00,0.0000,,,0
001,AA,0017,,NEW YORK,JFK,,SAN FRANCISCO,SFO,21660,13:30:00,16:31:00,0.0000,,,0
001,AA,0064,,SAN FRANCISCO,SFO,,NEW YORK,JFK,19260,09:00:00,17:21:00,0.0000,,,0
001,AC,0820,DE,FRANKFURT/MAIN,FRA,CA,MONTREAL-DORVAL,YUL,28800,10:00:00,12:00:00,5400.0000,,,0
001,AF,0820,DE,FRANKFURT/MAIN,FRA,MQ,FORT DE FRANCE,FDF,39600,10:00:00,15:00:00,7233.0000,,,0
001,DL,1699,,NEW YORK,JFK,,SAN FRANCISCO,SFO,22920,17:15:00,20:37:00,0.0000,,,0
001,DL,1984,,SAN FRANCISCO,SFO,,NEW YORK,JFK,19500,10:00:00,18:25:00,0.0000,,,0
001,LH,0400,,FRANKFURT,FRA,,NEW YORK,JFK,30240,10:10:00,11:34:00,7865.0000,KM,,0
001,LH,0402,,FRANKFURT,FRA,,NEW YORK,EWR,30900,13:30:00,15:05:00,7865.0000,KM,,0
001,LH,0454,,FRANKFURT,FRA,,SAN FRANCISCO,SFO,44400,10:10:00,12:30:00,0.0000,,,0
001,LH,0455,,SAN FRANCISCO,SFO,,FRANKFURT,FRA,48600,15:00:00,10:30:00,0.0000,,,0
001,LH,2402,,FRANKFURT,FRA,,BERLIN,SXF,3900,10:30:00,11:35:00,0.0000,,,0
001,LH,2407,,BERLIN,TXL,,FRANKFURT,FRA,3900,07:10:00,08:15:00,0.0000,,,0
001,LH,2415,,BERLIN,SXF,,FRANKFURT,FRA,3900,09:25:00,10:30:00,0.0000,,,0
001,LH,2436,,FRANKFURT,FRA,,BERLIN,THF,3900,17:30:00,18:35:00,0.0000,,,0
001,LH,2462,,FRANKFURT,FRA,,BERLIN,TXL,3900,06:30:00,07:35:00,0.0000,,,0
001,LH,2463,,BERLIN,SXF,,FRANKFURT,FRA,3900,21:25:00,22:30:00,0.0000,,,0
001,LH,3577,,ROM,FCO,,FRANKFURT,FRA,7200,07:05:00,09:05:00,1870.0000,KM,,0
001,LH,9981,DE,FRANKFURT,FRA,DE,DRESDEN,DRS,3300,16:40:00,17:35:00,300.0000,,,0
001,SQ,0026,,FRANKFURT,FRA,,NEW YORK,JFK,30000,08:30:00,09:50:00,7865.0000,KM,,0
001,UA,0007,,NEW YORK,JFK,,SAN FRANCISCO,SFO,22200,14:45:00,17:55:00,0.0000,,,0
001,UA,0941,,FRANKFURT,FRA,,SAN FRANCISCO,SFO,45360,14:30:00,21:06:00,0.0000,,,0
001,UA,3504,,SAN FRANCISCO,SFO,,FRANKFURT,FRA,48900,15:00:00,10:30:00,0.0000,,,0
300,AA,0017,US,NEW YORK,JFK,US,SAN FRANCISCO,SFO,361,11:00:00,14:01:00,2572.0000,MI,,0
300,AA,0026,DE,FRANKFURT,FRA,US,NEW YORK,JFK,440,08:30:00,09:50:00,3851.0000,MI,,0
300,AA,0064,US,SAN FRANCISCO,SFO,US,NEW YORK,JFK,321,09:00:00,17:21:00,2572.0000,MI,,0
300,AZ,0555,IT,ROME,FCO,DE,FRANKFURT,FRA,125,19:00:00,21:05:00,845.0000,MI,,0
300,AZ,0788,IT,ROME,FCO,JP,TOKYO,TYO,775,12:00:00,08:55:00,6130.0000,MI,,1
300,AZ,0789,JP,TOKYO,TYO,IT,ROME,FCO,940,11:45:00,19:25:00,6130.0000,MI,,0
300,AZ,0790,IT,ROME,FCO,JP,OSAKA,KIX,815,10:35:00,08:10:00,6030.0000,MI,X,1
300,AZ,0791,JP,OSAKA,KIX,IT,ROME,FCO,975,11:15:00,19:30:00,6030.0000,MI,X,0
300,DL,0106,US,NEW YORK,JFK,DE,FRANKFURT,FRA,475,19:35:00,09:30:00,3851.0000,MI,,1
300,DL,1699,US,NEW YORK,JFK,US,SAN FRANCISCO,SFO,382,17:15:00,20:37:00,2572.0000,MI,,0
300,DL,1984,US,SAN FRANCISCO,SFO,US,NEW YORK,JFK,325,10:00:00,18:25:00,2572.0000,MI,,0
300,JL,0407,JP,TOKYO,NRT,DE,FRANKFURT,FRA,725,13:30:00,17:35:00,9100.0000,KM,,0
300,JL,0408,DE,FRANKFURT,FRA,JP,TOKYO,NRT,675,20:25:00,15:40:00,9100.0000,KM,X,1
300,LH,0400,DE,FRANKFURT,FRA,US,NEW YORK,JFK,444,10:10:00,11:34:00,6162.0000,KM,,0
300,LH,0401,US,NEW YORK,JFK,DE,FRANKFURT,FRA,435,18:30:00,07:45:00,6162.0000,KM,,1
300,LH,0402,DE,FRANKFURT,FRA,US,NEW YORK,JFK,455,13:30:00,15:05:00,6162.0000,KM,X,0
300,LH,0454,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,680,10:10:00,12:30:00,9150.0000,KM,,0
300,LH,0455,US,SAN FRANCISCO,SFO,DE,FRANKFURT,FRA,630,15:00:00,10:30:00,9150.0000,KM,,1
300,LH,2402,DE,FRANKFURT,FRA,DE,BERLIN,SXF,65,10:30:00,11:35:00,555.0000,KM,,0
300,LH,2407,DE,BERLIN,TXL,DE,FRANKFURT,FRA,65,07:10:00,08:15:00,555.0000,KM,,0
300,LH,2415,DE,BERLIN,SXF,DE,FRANKFURT,FRA,65,09:25:00,10:30:00,555.0000,KM,,0
