MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
300,M,AUD,AUD,2028-09-08,1.00000,1,1
300,M,AUD,CAD,2028-09-08,1.91541,1,1
300,M,AUD,CHF,2028-09-08,1.97978,1,1
300,M,AUD,EUR,2028-09-08,1.33140,1,1
300,M,AUD,GBP,2028-09-08,0.82593,1,1
300,M,AUD,JPY,2028-09-08,1.47197,1,100
300,M,AUD,SEK,2028-09-08,12.82659,1,1
300,M,AUD,SGD,2028-09-08,2.20321,1,1
300,M,AUD,USD,2028-09-08,1.22147,1,1
300,M,AUD,ZAR,2028-09-08,11.34072,1,1
300,M,CAD,AUD,2028-09-08,0.52208,1,1
300,M,CAD,CAD,2028-09-08,1.00000,1,1
300,M,CAD,CHF,2028-09-08,1.03361,1,1
300,M,CAD,EUR,2028-09-08,0.69510,1,1
300,M,CAD,GBP,2028-09-08,0.43120,1,1
300,M,CAD,JPY,2028-09-08,0.76849,1,100
300,M,CAD,SEK,2028-09-08,6.69653,1,1
300,M,CAD,SGD,2028-09-08,1.15026,1,1
300,M,CAD,USD,2028-09-08,0.63771,1,1
300,M,CAD,ZAR,2028-09-08,5.92078,1,1
300,M,CHF,AUD,2028-09-08,0.50511,1,1
300,M,CHF,CAD,2028-09-08,0.96749,1,1
300,M,CHF,CHF,2028-09-08,1.00000,1,1
300,M,CHF,EUR,2028-09-08,0.67250,1,1
300,M,CHF,GBP,2028-09-08,0.41718,1,1
300,M,CHF,JPY,2028-09-08,0.74350,1,100
300,M,CHF,SEK,2028-09-08,6.47881,1,1
300,M,CHF,SGD,2028-09-08,1.11286,1,1
300,M,CHF,USD,2028-09-08,0.61697,1,1
300,M,CHF,ZAR,2028-09-08,5.72828,1,1
300,M,EUR,AUD,2028-09-08,0.75109,1,1
300,M,EUR,CAD,2028-09-08,1.43864,1,1
300,M,EUR,CHF,2028-09-08,1.48699,1,1
300,M,EUR,EUR,2028-09-08,1.00000,1,1
300,M,EUR,GBP,2028-09-08,0.62035,1,1
300,M,EUR,JPY,2028-09-08,1.10558,1,100
300,M,EUR,SEK,2028-09-08,9.63391,1,1
300,M,EUR,SGD,2028-09-08,1.65481,1,1
300,M,EUR,USD,2028-09-08,0.91743,1,1
300,M,EUR,ZAR,2028-09-08,8.51789,1,1
300,M,GBP,AUD,2028-09-08,1.21076,1,1
300,M,GBP,CAD,2028-09-08,2.31909,1,1
300,M,GBP,CHF,2028-09-08,2.39703,1,1
300,M,GBP,EUR,2028-09-08,1.61200,1,1
300,M,GBP,GBP,2028-09-08,1.00000,1,1
300,M,GBP,JPY,2028-09-08,1.78220,1,100
300,M,GBP,SEK,2028-09-08,15.52987,1,1
300,M,GBP,SGD,2028-09-08,2.66755,1,1
300,M,GBP,USD,2028-09-08,1.47890,1,1
300,M,GBP,ZAR,2028-09-08,13.73083,1,1
300,M,JPY,AUD,2028-09-08,0.67936,100,1
300,M,JPY,CAD,2028-09-08,1.30125,100,1
300,M,JPY,CHF,2028-09-08,1.34498,100,1
300,M,JPY,EUR,2028-09-08,0.90450,100,1
300,M,JPY,GBP,2028-09-08,0.56110,100,1
300,M,JPY,JPY,2028-09-08,1.00000,100,100
300,M,JPY,SEK,2028-09-08,8.71387,100,1
300,M,JPY,SGD,2028-09-08,1.49677,100,1
300,M,JPY,USD,2028-09-08,0.82982,100,1
300,M,JPY,ZAR,2028-09-08,7.70443,100,1
300,M,SEK,AUD,2028-09-08,0.07796,1,1
300,M,SEK,CAD,2028-09-08,0.14933,1,1
300,M,SEK,CHF,2028-09-08,0.15435,1,1
300,M,SEK,EUR,2028-09-08,0.10380,1,1
300,M,SEK,GBP,2028-09-08,0.06439,1,1
300,M,SEK,JPY,2028-09-08,0.11476,1,100
300,M,SEK,SEK,2028-09-08,1.00000,1,1
300,M,SEK,SGD,2028-09-08,0.17177,1,1
300,M,SEK,USD,2028-09-08,0.09523,1,1
300,M,SEK,ZAR,2028-09-08,0.88416,1,1
300,M,SGD,AUD,2028-09-08,0.45388,1,1
300,M,SGD,CAD,2028-09-08,0.86937,1,1
300,M,SGD,CHF,2028-09-08,0.89859,1,1
300,M,SGD,EUR,2028-09-08,0.60430,1,1
300,M,SGD,GBP,2028-09-08,0.37488,1,1
300,M,SGD,JPY,2028-09-08,0.66810,1,100
300,M,SGD,SEK,2028-09-08,5.82177,1,1
300,M,SGD,SGD,2028-09-08,1.00000,1,1
300,M,SGD,USD,2028-09-08,0.55440,1,1
300,M,SGD,ZAR,2028-09-08,5.14736,1,1
300,M,USD,AUD,2028-09-08,0.81869,1,1
300,M,USD,CAD,2028-09-08,1.56812,1,1
300,M,USD,CHF,2028-09-08,1.62082,1,1
300,M,USD,EUR,2028-09-08,1.09000,1,1
300,M,USD,GBP,2028-09-08,0.67618,1,1
300,M,USD,JPY,2028-09-08,1.20509,1,100
300,M,USD,SEK,2028-09-08,10.50096,1,1
300,M,USD,SGD,2028-09-08,1.80374,1,1
300,M,USD,USD,2028-09-08,1.00000,1,1
300,M,USD,ZAR,2028-09-08,9.28450,1,1
300,M,ZAR,AUD,2028-09-08,0.08818,1,1
300,M,ZAR,CAD,2028-09-08,0.16890,1,1
300,M,ZAR,CHF,2028-09-08,0.17457,1,1
300,M,ZAR,EUR,2028-09-08,0.11740,1,1
300,M,ZAR,GBP,2028-09-08,0.07283,1,1
300,M,ZAR,JPY,2028-09-08,0.12980,1,100
300,M,ZAR,SEK,2028-09-08,1.13102,1,1
300,M,ZAR,SGD,2028-09-08,0.19427,1,1
300,M,ZAR,USD,2028-09-08,0.10771,1,1
300,M,ZAR,ZAR,2028-09-08,1.00000,1,1
