MANDT,CARRID,CONNID,FLDATE,PRICE,CURRENCY,PLANETYPE,SEATSMAX,SEATSOCC,PAYMENTSUM,SEATSMAX_B,SEATSOCC_B,SEATSMAX_F,SEATSOCC_F
000,LH,0400,2023-05-28,899.00,DEM,A319,350,3,2639.00,0,0,0,0
000,LH,0454,2023-08-19,1499.00,DEM,A319,350,2,2949.00,0,0,0,0
000,LH,0455,2023-06-28,1090.00,USD,A319,220,1,1499.00,0,0,0,0
000,LH,3577,2023-06-15,6000.00,LIT,A319,220,1,600.00,0,0,0,0
000,SQ,0026,2023-05-28,849.00,DEM,DC-10-10,380,2,1684.00,0,0,0,0
001,LH,0400,2023-05-28,899.00,DEM,A319,350,3,2639.00,0,0,0,0
001,LH,0454,2023-08-19,1499.00,DEM,A319,350,2,2949.00,0,0,0,0
001,LH,0455,2023-06-28,1090.00,USD,A319,220,1,1499.00,0,0,0,0
001,LH,3577,2023-06-15,6000.00,LIT,A319,220,1,600.00,0,0,0,0
001,SQ,0026,2023-05-28,849.00,DEM,DC-10-10,380,2,1684.00,0,0,0,0
000,AC,0820,2025-11-22,1222.00,CAD,A330-300,320,12,0.00,20,1,0,0
001,AC,0820,2025-11-22,1222.00,CAD,A330-300,320,12,0.00,20,1,0,0
000,AF,0820,2025-11-23,2222.00,EUR,A330-300,320,2,0.00,20,1,0,0
000,LH,9981,2025-11-23,222.00,EUR,A330-300,320,12,0.00,20,1,0,0
001,AF,0820,2025-11-23,2222.00,EUR,A330-300,320,2,0.00,20,1,0,0
001,LH,9981,2025-11-23,222.00,EUR,A330-300,320,12,0.00,20,1,0,0
300,SQ,0158,2025-03-26,494.79,SGD,A321,220,220,135611.84,22,22,11,11
300,SQ,0161,2025-03-26,494.79,SGD,A321,220,220,135948.28,22,22,11,11
300,UA,3516,2025-03-26,611.01,USD,DC-10-10,380,367,281291.06,41,39,18,18
300,SQ,0863,2025-03-26,512.99,SGD,A319,220,219,139379.17,22,22,10,10
300,SQ,0866,2025-03-26,512.99,SGD,DC-10-10,380,380,244500.90,41,41,18,18
300,SQ,0988,2025-03-26,910.15,SGD,DC-10-10,380,380,435698.51,41,41,18,18
300,SQ,0002,2025-03-26,2320.04,SGD,A319,220,214,611887.43,22,21,10,10
300,AZ,0789,2025-03-26,1030.00,EUR,747-400,385,372,467640.60,31,30,21,20
300,SQ,0015,2025-03-26,2320.04,SGD,DC-10-10,380,372,1090859.87,41,40,18,18
