MANDT,CARRID,CONNID,FLDATE,BOOKID,CUSTOMID,TICKET,PLACE,ARCHIVE_
300,LH,402,2028-10-12,116914,2272,O,AIRPORT,
300,UA,3516,2028-08-18,117491,2272,O,AIRPORT,
300,UA,3516,2028-08-25,118879,2272,O,AIRPORT,
300,AZ,790,2028-04-26,118602,2272,O,AIRPORT,
300,AZ,791,2028-07-16,154018,2272,O,AIRPORT,
300,LH,455,2028-04-17,148023,2272,O,AIRPORT,
300,LH,455,2028-07-20,158600,2769,O,AIRPORT,
300,AZ,791,2028-05-21,147727,2272,O,AIRPORT,
300,AZ,790,2028-08-23,134995,2769,O,AIRPORT,
300,AZ,791,2028-05-15,146921,2272,O,AIRPORT,
300,LH,454,2028-08-19,138166,2769,O,AIRPORT,
300,UA,3517,2028-07-02,147381,2272,O,AIRPORT,
300,AZ,790,2028-09-01,136465,2769,O,AIRPORT,
300,AZ,791,2028-06-10,150010,2272,O,AIRPORT,
300,LH,454,2028-08-06,136197,2769,O,AIRPORT,
300,LH,455,2028-04-21,148700,2272,O,AIRPORT,
300,UA,3517,2028-05-09,136807,2769,O,AIRPORT,
300,AZ,791,2028-09-08,159873,2272,O,AIRPORT,
300,LH,454,2028-07-19,133784,2769,O,AIRPORT,
300,LH,455,2028-08-22,162208,2272,O,AIRPORT,
300,UA,3517,2028-06-14,143677,2769,O,AIRPORT,
300,LH,455,2028-08-20,162027,2272,O,AIRPORT,
300,UA,3517,2028-05-20,139161,2769,O,AIRPORT,
300,LH,455,2028-06-25,155946,2272,O,AIRPORT,
300,UA,3517,2028-06-05,141929,2769,O,AIRPORT,
300,UA,3517,2028-08-15,155791,2272,O,AIRPORT,
300,LH,454,2028-09-08,141283,2769,O,AIRPORT,
300,AZ,791,2028-08-23,158176,2272,O,AIRPORT,
300,UA,3517,2028-11-15,166624,2769,O,AIRPORT,
300,UA,3517,2028-08-24,157489,2272,O,AIRPORT,
300,UA,3517,2028-09-29,164903,2769,O,AIRPORT,
300,AZ,790,2028-08-27,135907,2272,O,AIRPORT,
300,UA,3517,2028-09-25,164339,2769,O,AIRPORT,
300,UA,3517,2028-05-14,137559,2272,O,AIRPORT,
300,LH,2462,2028-09-19,265983,2769,O,AIRPORT,
300,UA,3517,2028-05-14,137667,2272,O,AIRPORT,
300,LH,2462,2028-09-26,266637,2769,O,AIRPORT,
300,AZ,790,2028-09-05,137128,2272,O,AIRPORT,
300,LH,2462,2028-09-06,264178,2769,O,AIRPORT,
300,AZ,790,2028-07-20,130386,2272,O,AIRPORT,
300,LH,2462,2028-06-28,256132,2769,O,AIRPORT,
300,LH,454,2028-09-28,144204,2272,O,AIRPORT,
300,LH,2463,2028-06-09,276239,2769,O,AIRPORT,
300,LH,455,2028-03-28,145878,2272,O,AIRPORT,
300,LH,2463,2028-05-26,274757,2769,O,AIRPORT,
300,UA,3517,2028-05-22,139492,2272,O,AIRPORT,
300,LH,2463,2028-07-01,278813,2769,O,AIRPORT,
300,LH,454,2028-09-02,140096,2272,O,AIRPORT,
300,LH,2463,2028-04-16,270307,2769,O,AIRPORT,
300,LH,2462,2028-09-21,266027,2272,O,AIRPORT,
300,LH,2436,2028-07-28,240460,2769,O,AIRPORT,
300,LH,2462,2028-07-01,256419,2272,O,AIRPORT,
300,LH,2415,2028-08-26,227922,2769,O,AIRPORT,
300,LH,2462,2028-07-21,258634,2272,O,AIRPORT,
300,LH,2415,2028-09-17,230356,2769,O,AIRPORT,
300,LH,2462,2028-07-19,258528,2272,O,AIRPORT,
300,LH,2462,2028-04-16,247903,2769,O,AIRPORT,
300,LH,2463,2028-04-07,269359,2272,O,AIRPORT,
300,LH,2462,2028-04-07,247000,2769,O,AIRPORT,
300,LH,2463,2028-04-05,269132,2272,O,AIRPORT,
300,LH,3577,2028-09-08,309590,2769,O,AIRPORT,
300,LH,2463,2028-05-06,272570,2272,O,AIRPORT,
300,LH,3577,2028-09-19,311284,2769,O,AIRPORT,
300,LH,2436,2028-05-08,235262,2272,O,AIRPORT,
300,LH,2463,2028-09-11,287380,2769,O,AIRPORT,
300,LH,2436,2028-06-15,237807,2272,O,AIRPORT,
300,LH,2463,2028-08-12,283533,2769,O,AIRPORT,
300,LH,2415,2028-09-12,229954,2272,O,AIRPORT,
300,LH,2462,2028-05-19,251625,2272,O,AIRPORT,
300,LH,2463,2028-07-30,282140,2769,O,AIRPORT,
300,LH,2462,2028-04-14,247586,2272,O,AIRPORT,
300,LH,3577,2028-07-12,302839,2769,O,AIRPORT,
300,LH,3577,2028-09-06,309345,2272,O,AIRPORT,
300,LH,3577,2028-07-10,302538,2769,O,AIRPORT,
300,LH,2463,2028-10-03,289532,2272,O,AIRPORT,
300,LH,3577,2028-05-11,295883,2769,O,AIRPORT,
300,LH,3577,2028-04-18,293375,2272,O,AIRPORT,
300,LH,3577,2028-06-15,299949,2769,O,AIRPORT,
300,LH,2463,2028-08-01,282247,2272,O,AIRPORT,
300,LH,2407,2028-07-08,202220,2769,O,AIRPORT,
300,LH,2463,2028-07-30,282173,2272,O,AIRPORT,
300,LH,2402,2028-10-18,190189,2769,O,AIRPORT,
300,LH,2463,2028-08-31,285973,2272,O,AIRPORT,
300,LH,2402,2028-09-13,187791,2769,O,AIRPORT,
300,LH,3577,2028-07-01,301641,2272,O,AIRPORT,
300,LH,2407,2028-09-19,210960,2769,O,AIRPORT,
300,LH,3577,2028-05-11,295824,2272,O,AIRPORT,
300,LH,2407,2028-08-21,207238,2769,O,AIRPORT,
300,LH,3577,2028-05-29,297929,2272,O,AIRPORT,
300,LH,2415,2028-04-20,215563,2769,O,AIRPORT,
300,LH,3577,2028-06-06,298873,2272,O,AIRPORT,
300,LH,2407,2028-09-26,211954,2769,O,AIRPORT,
300,LH,2407,2028-06-18,200111,2272,O,AIRPORT,
300,LH,2402,2028-08-12,183840,2769,O,AIRPORT,
300,LH,2407,2028-06-18,199982,2272,O,AIRPORT,
300,LH,2402,2028-05-29,175372,2769,O,AIRPORT,
300,LH,2402,2028-09-22,188800,2272,O,AIRPORT,
300,QF,5,2028-07-05,19843,794,O,AIRPORT,
300,LH,2407,2028-05-11,195705,2272,O,AIRPORT,
300,LH,400,2028-07-03,19550,794,O,AIRPORT,
300,LH,2407,2028-05-20,196829,2272,O,AIRPORT,
300,LH,400,2028-04-23,5380,794,O,AIRPORT,
300,LH,2407,2028-05-20,196916,2272,O,AIRPORT,
300,JL,407,2028-08-23,20991,794,O,AIRPORT,
300,LH,2407,2028-04-16,193163,2272,O,AIRPORT,
300,LH,400,2028-06-27,17876,794,O,AIRPORT,
300,LH,2415,2028-05-04,216715,2272,O,AIRPORT,
300,DL,106,2028-04-06,1773,794,O,AIRPORT,
300,LH,2415,2028-07-16,224062,2272,O,AIRPORT,
300,JL,407,2028-07-25,16906,794,O,AIRPORT,
300,LH,2415,2028-07-03,222570,2272,O,AIRPORT,
300,AZ,555,2028-06-28,18626,794,O,AIRPORT,
300,LH,2415,2028-07-10,223322,2272,O,AIRPORT,
300,LH,400,2028-06-29,18626,794,O,AIRPORT,
300,LH,2407,2028-09-22,211336,2272,O,AIRPORT,
300,DL,106,2028-06-29,18705,794,O,AIRPORT,
300,LH,2415,2028-04-29,216329,2272,O,AIRPORT,
300,AA,17,2028-04-20,4851,794,O,AIRPORT,
300,LH,2402,2028-07-12,180349,2272,O,AIRPORT,
300,AZ,555,2028-07-27,24301,794,O,AIRPORT,
300,LH,2402,2028-07-06,179541,2272,O,AIRPORT,
300,AZ,555,2028-07-27,24331,794,O,AIRPORT,
300,LH,2402,2028-09-06,186718,2272,O,AIRPORT,
300,QF,5,2028-04-20,4932,794,O,AIRPORT,
300,LH,2402,2028-04-25,171572,2272,O,AIRPORT,
300,AZ,555,2028-04-17,4724,794,O,AIRPORT,
300,LH,2402,2028-03-27,168311,2272,O,AIRPORT,
300,AZ,788,2028-05-14,47780,794,O,AIRPORT,
300,LH,2402,2028-03-27,168388,2272,O,AIRPORT,
300,AA,17,2028-07-20,22670,794,O,AIRPORT,
300,JL,407,2028-08-12,19289,3947,O,AIRPORT,
300,JL,407,2028-09-01,22050,794,O,AIRPORT,
300,QF,5,2028-07-03,19274,3947,O,AIRPORT,
300,LH,400,2028-07-26,23907,794,O,AIRPORT,
300,AA,17,2028-07-11,21138,3947,O,AIRPORT,
300,UA,7,2028-09-10,23713,794,O,AIRPORT,
300,UA,7,2028-08-04,17884,3947,O,AIRPORT,
300,AA,17,2028-07-22,23039,794,O,AIRPORT,
300,AZ,555,2028-06-23,17819,3947,O,AIRPORT,
300,UA,7,2028-06-09,10249,794,O,AIRPORT,
300,JL,407,2028-08-10,19039,3947,O,AIRPORT,
300,AA,17,2028-05-03,7659,794,O,AIRPORT,
300,DL,106,2028-06-29,18349,3947,O,AIRPORT,
300,LH,400,2028-05-04,7647,794,O,AIRPORT,
300,DL,1699,2028-05-18,47398,3947,O,AIRPORT,
300,UA,7,2028-05-17,7164,794,O,AIRPORT,
300,AA,26,2028-05-25,47255,3947,O,AIRPORT,
300,QF,5,2028-05-01,7237,794,O,AIRPORT,
300,JL,408,2028-10-07,48305,3947,O,AIRPORT,
300,AA,17,2028-05-21,11106,794,O,AIRPORT,
300,LH,400,2028-04-18,4793,3947,O,AIRPORT,
300,AA,17,2028-05-19,10838,794,O,AIRPORT,
300,DL,106,2028-07-17,22142,3947,O,AIRPORT,
300,JL,407,2028-06-06,9937,794,O,AIRPORT,
300,JL,407,2028-04-11,2369,3947,O,AIRPORT,
300,UA,7,2028-07-12,14954,794,O,AIRPORT,
300,JL,407,2028-09-12,23578,3947,O,AIRPORT,
300,AZ,555,2028-06-10,15242,794,O,AIRPORT,
300,UA,7,2028-05-15,6861,3947,O,AIRPORT,
300,LH,400,2028-06-09,14450,794,O,AIRPORT,
300,AZ,555,2028-04-29,6905,3947,O,AIRPORT,
300,JL,407,2028-07-07,14413,794,O,AIRPORT,
300,UA,7,2028-05-15,6884,3947,O,AIRPORT,
300,DL,106,2028-06-18,16182,794,O,AIRPORT,
300,AZ,555,2028-04-29,6586,3947,O,AIRPORT,
300,DL,106,2028-06-21,16648,794,O,AIRPORT,
300,QF,5,2028-05-26,11890,794,O,AIRPORT,
300,JL,407,2028-05-13,6548,3947,O,AIRPORT,
300,AZ,555,2028-05-25,12129,794,O,AIRPORT,
300,AA,17,2028-05-01,7191,3947,O,AIRPORT,
300,AZ,555,2028-04-26,6129,794,O,AIRPORT,
300,UA,7,2028-06-15,11322,3947,O,AIRPORT,
300,AZ,555,2028-05-23,11602,3947,O,AIRPORT,
300,UA,7,2028-06-29,13145,794,O,AIRPORT,
300,AA,17,2028-05-19,10530,3947,O,AIRPORT,
300,DL,106,2028-09-09,32408,794,O,AIRPORT,
300,QF,5,2028-05-19,10519,3947,O,AIRPORT,
300,AZ,555,2028-09-03,31828,794,O,AIRPORT,
300,JL,407,2028-04-02,1047,3947,O,AIRPORT,
300,DL,106,2028-09-07,31891,794,O,AIRPORT,
300,QF,5,2028-05-22,10899,3947,O,AIRPORT,
300,DL,106,2028-09-22,35235,794,O,AIRPORT,
300,JL,407,2028-06-04,9713,3947,O,AIRPORT,
300,QF,5,2028-09-15,33872,794,O,AIRPORT,
300,JL,407,2028-06-06,9905,3947,O,AIRPORT,
300,JL,408,2028-06-02,34664,794,O,AIRPORT,
300,AZ,555,2028-05-05,8001,3947,O,AIRPORT,
300,LH,400,2028-09-15,34721,794,O,AIRPORT,
300,UA,7,2028-05-29,8866,3947,O,AIRPORT,
300,AA,17,2028-08-12,27084,794,O,AIRPORT,
300,UA,7,2028-07-12,14920,3947,O,AIRPORT,
300,DL,106,2028-08-02,25164,794,O,AIRPORT,
300,UA,7,2028-07-14,15415,3947,O,AIRPORT,
300,DL,106,2028-08-11,26717,794,O,AIRPORT,
300,DL,106,2028-06-18,16204,3947,O,AIRPORT,
300,QF,5,2028-08-03,25614,794,O,AIRPORT,
300,QF,5,2028-06-17,16075,3947,O,AIRPORT,
300,LH,400,2028-08-04,25538,794,O,AIRPORT,
300,DL,106,2028-08-27,29830,794,O,AIRPORT,
300,AA,17,2028-08-18,28265,794,O,AIRPORT,
300,QF,5,2028-04-09,2854,794,O,AIRPORT,
300,JL,408,2028-04-09,28734,794,O,AIRPORT,
